Date,Time,Month,Season,Site,Native_or_chestnut,Temp,pH,SpCond_uscm,DO_percent,DO_mgl,CHL_ugl,,,,,,,,,,,,
10/7/24,1:46:53,October,Fall,11,native,16.77,7,128,88.9,7.21,8.63,,,,,,,,,,,,
10/7/24,2:46:53,October,Fall,11,native,16.66,6.99,129,86.7,7.05,8.59,,,,,,,,,,,,
10/7/24,3:46:53,October,Fall,11,native,16.51,6.98,129,85.5,6.98,8.83,,,,,,,,,,,,
10/7/24,4:46:53,October,Fall,11,native,16.38,6.97,129,83.9,6.86,8.89,,,,,,,,,,,,
10/7/24,5:46:53,October,Fall,11,native,16.29,6.99,129,82.5,6.76,8.77,,,,,,,,,,,,
10/7/24,6:46:53,October,Fall,11,native,16.29,7,130,82.4,6.75,9.27,,,,,,,,,,,,
10/7/24,7:46:53,October,Fall,11,native,16.03,6.92,130,77.9,6.41,8.99,,,,,,,,,,,,
10/7/24,8:46:53,October,Fall,11,native,16.01,6.86,130,75.4,6.21,7.38,,,,,,,,,,,,
10/7/24,9:46:53,October,Fall,11,native,16.41,6.97,130,82.6,6.75,8.5,,,,,,,,,,,,
10/7/24,10:46:53,October,Fall,11,native,16.74,6.97,129,85.2,6.91,7.46,,,,,,,,,,,,
10/7/24,11:46:53,October,Fall,11,native,17.05,7.08,129,91.7,7.39,7.37,,,,,,,,,,,,
10/7/24,12:46:53,October,Fall,11,native,17.1,7.15,128,94.1,7.58,7.18,,,,,,,,,,,,
10/7/24,13:46:53,October,Fall,11,native,17.22,7.17,128,95.4,7.67,7.03,,,,,,,,,,,,
10/7/24,14:46:53,October,Fall,11,native,17.27,7.15,128,94.7,7.61,6.95,,,,,,,,,,,,
10/7/24,15:46:53,October,Fall,11,native,17.34,7.18,128,95.9,7.68,7.19,,,,,,,,,,,,
10/7/24,16:46:53,October,Fall,11,native,17.28,7.2,127,97.1,7.79,7.26,,,,,,,,,,,,
10/7/24,17:46:53,October,Fall,11,native,17.16,7.23,127,96.5,7.76,7.34,,,,,,,,,,,,
10/7/24,18:46:53,October,Fall,11,native,16.99,7.23,127,95.4,7.7,7.78,,,,,,,,,,,,
10/7/24,19:46:53,October,Fall,11,native,16.78,7.2,127,93.9,7.61,7.9,,,,,,,,,,,,
10/7/24,20:46:53,October,Fall,11,native,16.56,7.19,128,93,7.57,8.06,,,,,,,,,,,,
10/7/24,21:46:53,October,Fall,11,native,16.16,7.15,128,90.7,7.46,7.54,,,,,,,,,,,,
10/7/24,22:46:53,October,Fall,11,native,15.89,7.11,128,88.3,7.3,7.53,,,,,,,,,,,,
10/7/24,23:46:53,October,Fall,11,native,15.64,7.07,128,86.3,7.17,7.19,,,,,,,,,,,,
10/8/24,0:46:53,October,Fall,11,native,15.34,7.07,128,84.8,7.09,7.68,,,,,,,,,,,,
10/8/24,1:46:53,October,Fall,11,native,14.99,7.03,128,81.5,6.86,9.73,,,,,,,,,,,,
10/8/24,2:46:53,October,Fall,11,native,14.87,7.05,128,82.3,6.95,9.43,,,,,,,,,,,,
10/8/24,3:46:53,October,Fall,11,native,14.54,7.05,128,80.3,6.83,9.26,,,,,,,,,,,,
10/8/24,4:46:53,October,Fall,11,native,14.42,7.01,128,78.2,6.67,9.45,,,,,,,,,,,,
10/8/24,5:46:53,October,Fall,11,native,14.17,6.97,128,76.6,6.57,9.11,,,,,,,,,,,,
10/8/24,6:46:53,October,Fall,11,native,13.9,6.94,128,75.2,6.49,8.63,,,,,,,,,,,,
10/8/24,7:46:53,October,Fall,11,native,13.81,6.94,128,73.8,6.38,8.35,,,,,,,,,,,,
10/8/24,8:46:53,October,Fall,11,native,13.82,6.92,128,73.1,6.32,7.55,,,,,,,,,,,,
10/8/24,9:46:53,October,Fall,11,native,13.94,6.92,128,74.2,6.4,7.45,,,,,,,,,,,,
10/8/24,10:46:53,October,Fall,11,native,14.91,6.99,126,83.3,7.03,6.58,,,,,,,,,,,,
10/8/24,11:46:53,October,Fall,11,native,15.25,7.06,126,84.6,7.09,7.43,,,,,,,,,,,,
10/8/24,12:46:53,October,Fall,11,native,15.78,7.12,126,88.5,7.33,7.35,,,,,,,,,,,,
10/8/24,13:46:53,October,Fall,11,native,16.25,7.11,125,91.1,7.47,7.05,,,,,,,,,,,,
10/8/24,14:46:53,October,Fall,11,native,16.42,7.14,125,92.7,7.58,6.92,,,,,,,,,,,,
10/8/24,15:46:53,October,Fall,11,native,16.47,7.19,124,94.1,7.68,7.19,,,,,,,,,,,,
10/8/24,16:46:53,October,Fall,11,native,16.36,7.22,124,95.2,7.79,7.49,,,,,,,,,,,,
10/8/24,17:46:53,October,Fall,11,native,16.17,7.24,124,95.3,7.83,7.57,,,,,,,,,,,,
10/8/24,18:46:53,October,Fall,11,native,16.02,7.23,124,94.6,7.79,8.32,,,,,,,,,,,,
10/8/24,19:46:53,October,Fall,11,native,15.78,7.23,125,93.2,7.72,8.25,,,,,,,,,,,,
10/8/24,20:46:53,October,Fall,11,native,15.59,7.2,125,92.4,7.69,7.99,,,,,,,,,,,,
10/8/24,21:46:53,October,Fall,11,native,15.61,7.2,124,92.3,7.67,8.01,,,,,,,,,,,,
10/8/24,22:46:53,October,Fall,11,native,15.42,7.19,125,92.6,7.73,8.15,,,,,,,,,,,,
10/8/24,23:46:53,October,Fall,11,native,15.06,7.14,126,90.3,7.59,8.22,,,,,,,,,,,,
10/9/24,0:46:53,October,Fall,11,native,14.83,7.12,125,87.5,7.4,7.97,,,,,,,,,,,,
10/9/24,1:46:53,October,Fall,11,native,14.77,7.1,126,86.3,7.3,8.03,,,,,,,,,,,,
10/9/24,2:46:53,October,Fall,11,native,14.68,7.08,126,84.6,7.18,7.98,,,,,,,,,,,,
10/9/24,3:46:53,October,Fall,11,native,14.54,7.07,125,84.5,7.19,7.89,,,,,,,,,,,,
10/9/24,4:46:53,October,Fall,11,native,14.28,7.02,126,81.4,6.96,8.26,,,,,,,,,,,,
10/9/24,5:46:53,October,Fall,11,native,14.06,7,126,80,6.88,7.99,,,,,,,,,,,,
10/9/24,6:46:53,October,Fall,11,native,13.91,6.99,126,79,6.82,7.96,,,,,,,,,,,,
10/9/24,7:46:53,October,Fall,11,native,14.04,6.98,126,78.6,6.76,7.57,,,,,,,,,,,,
10/9/24,8:46:53,October,Fall,11,native,14.09,6.99,126,79.6,6.84,6.82,,,,,,,,,,,,
10/9/24,9:46:53,October,Fall,11,native,13.97,7.02,126,80.6,6.95,6.77,,,,,,,,,,,,
10/9/24,10:46:53,October,Fall,11,native,14.44,7.09,125,85.7,7.31,7.13,,,,,,,,,,,,
10/9/24,11:46:53,October,Fall,11,native,14.68,7.08,125,86.6,7.34,7.39,,,,,,,,,,,,
10/9/24,12:46:53,October,Fall,11,native,14.38,7.08,125,86.8,7.41,7.92,,,,,,,,,,,,
10/9/24,13:46:53,October,Fall,11,native,14.53,7.1,125,88.8,7.56,7.48,,,,,,,,,,,,
10/9/24,14:46:53,October,Fall,11,native,14.59,7.11,125,91.2,7.75,7.42,,,,,,,,,,,,
10/9/24,15:46:53,October,Fall,11,native,14.83,7.13,125,92.7,7.84,7.41,,,,,,,,,,,,
10/9/24,16:46:53,October,Fall,11,native,14.84,7.15,125,92.3,7.8,7.62,,,,,,,,,,,,
10/9/24,17:46:53,October,Fall,11,native,14.83,7.17,125,89.6,7.58,8.42,,,,,,,,,,,,
10/9/24,18:46:53,October,Fall,11,native,14.66,7.22,124,91.9,7.79,8.34,,,,,,,,,,,,
10/9/24,19:46:53,October,Fall,11,native,14.45,7.28,124,94.6,8.06,8.12,,,,,,,,,,,,
10/9/24,20:46:53,October,Fall,11,native,14.28,7.26,124,92.9,7.95,7.74,,,,,,,,,,,,
10/9/24,21:46:53,October,Fall,11,native,14.02,7.18,124,88.8,7.64,8.34,,,,,,,,,,,,
10/9/24,22:46:53,October,Fall,11,native,13.67,7.14,124,86.5,7.5,8.34,,,,,,,,,,,,
10/9/24,23:46:53,October,Fall,11,native,13.85,7.19,124,88.1,7.61,8.07,,,,,,,,,,,,
10/10/24,0:46:53,October,Fall,11,native,13.73,7.16,124,85.8,7.43,7.97,,,,,,,,,,,,
10/10/24,1:46:53,October,Fall,11,native,13.59,7.14,125,83.6,7.26,7.9,,,,,,,,,,,,
10/10/24,2:46:53,October,Fall,11,native,13.42,7.14,126,84.5,7.36,9.25,,,,,,,,,,,,
10/10/24,3:46:53,October,Fall,11,native,13.02,7.1,125,80.8,7.1,9.26,,,,,,,,,,,,
10/10/24,4:46:53,October,Fall,11,native,12.91,7.11,125,81.5,7.19,9.12,,,,,,,,,,,,
10/10/24,5:46:53,October,Fall,11,native,12.83,7.09,126,82.2,7.27,8.9,,,,,,,,,,,,
10/10/24,6:46:53,October,Fall,11,native,12.65,7.08,126,81.3,7.21,8.81,,,,,,,,,,,,
10/10/24,7:46:53,October,Fall,11,native,12.76,7.09,126,82.7,7.32,8.8,,,,,,,,,,,,
10/10/24,8:46:53,October,Fall,11,native,12.69,7.08,126,82.2,7.29,8.27,,,,,,,,,,,,
10/10/24,9:46:53,October,Fall,11,native,13.05,7.11,127,85.9,7.55,7.62,,,,,,,,,,,,
10/10/24,10:46:53,October,Fall,11,native,13.21,7.15,127,88.2,7.73,7.73,,,,,,,,,,,,
10/10/24,11:46:53,October,Fall,11,native,13.41,7.19,127,91.2,7.96,7.65,,,,,,,,,,,,
10/10/24,12:46:53,October,Fall,11,native,13.86,7.27,126,95.2,8.22,7.55,,,,,,,,,,,,
10/10/24,13:46:53,October,Fall,11,native,14.12,7.34,127,97.5,8.37,7.5,,,,,,,,,,,,
10/10/24,14:46:53,October,Fall,11,native,14.31,7.37,127,98.5,8.42,7.37,,,,,,,,,,,,
10/10/24,15:46:53,October,Fall,11,native,14.4,7.39,126,99.3,8.47,7.62,,,,,,,,,,,,
10/10/24,16:46:53,October,Fall,11,native,14.45,7.43,127,99.6,8.49,7.69,,,,,,,,,,,,
10/10/24,17:46:53,October,Fall,11,native,14.35,7.44,127,99.5,8.5,7.76,,,,,,,,,,,,
10/10/24,18:46:53,October,Fall,11,native,14.16,7.41,127,97.9,8.4,8.01,,,,,,,,,,,,
10/10/24,19:46:53,October,Fall,11,native,14,7.36,127,97.2,8.37,8.39,,,,,,,,,,,,
10/10/24,20:46:53,October,Fall,11,native,13.6,7.34,127,95.3,8.28,8.24,,,,,,,,,,,,
10/10/24,21:46:53,October,Fall,11,native,13.46,7.29,127,92.5,8.06,7.97,,,,,,,,,,,,
10/10/24,22:46:53,October,Fall,11,native,13.14,7.28,127,91.8,8.05,7.88,,,,,,,,,,,,
10/10/24,23:46:53,October,Fall,11,native,12.45,7.26,127,90.5,8.07,7.73,,,,,,,,,,,,
10/11/24,0:46:53,October,Fall,11,native,11.98,7.17,127,87.1,7.84,5.96,,,,,,,,,,,,
10/11/24,1:46:53,October,Fall,11,native,11.86,7.14,126,86,7.77,8.1,,,,,,,,,,,,
10/11/24,2:46:53,October,Fall,11,native,11.63,7.12,127,84.7,7.69,8.13,,,,,,,,,,,,
10/11/24,3:46:53,October,Fall,11,native,11.64,7.07,127,83.3,7.56,8.41,,,,,,,,,,,,
10/11/24,4:46:53,October,Fall,11,native,11.74,7.06,127,82.5,7.47,8.36,,,,,,,,,,,,
10/11/24,5:46:53,October,Fall,11,native,11.67,7.04,127,81.7,7.41,8.26,,,,,,,,,,,,
10/11/24,6:46:53,October,Fall,11,native,11.42,7.01,127,79.7,7.27,8.32,,,,,,,,,,,,
10/11/24,7:46:53,October,Fall,11,native,11.18,7.02,127,80,7.34,7.93,,,,,,,,,,,,
10/11/24,8:46:53,October,Fall,11,native,11.3,7,127,78,7.14,7.57,,,,,,,,,,,,
10/11/24,9:46:53,October,Fall,11,native,12.82,7.1,125,88,7.78,6.76,,,,,,,,,,,,
10/11/24,10:46:53,October,Fall,11,native,13.26,7.15,127,88.4,7.73,6.61,,,,,,,,,,,,
10/11/24,11:46:53,October,Fall,11,native,13.62,7.19,125,90.9,7.89,6.65,,,,,,,,,,,,
10/11/24,12:46:53,October,Fall,11,native,13.86,7.21,126,92.4,7.98,6.96,,,,,,,,,,,,
10/11/24,13:46:53,October,Fall,11,native,14.29,7.22,125,94.5,8.09,6.56,,,,,,,,,,,,
10/11/24,14:46:53,October,Fall,11,native,14.65,7.26,126,96.9,8.23,6.75,,,,,,,,,,,,
10/11/24,15:46:53,October,Fall,11,native,14.7,7.34,125,100.3,8.5,6.61,,,,,,,,,,,,
10/11/24,16:46:53,October,Fall,11,native,14.71,7.43,125,102.1,8.66,6.76,,,,,,,,,,,,
10/11/24,17:46:53,October,Fall,11,native,14.64,7.51,125,103.7,8.8,7.03,,,,,,,,,,,,
10/11/24,18:46:53,October,Fall,11,native,14.58,7.49,125,101.2,8.6,7.4,,,,,,,,,,,,
10/11/24,19:46:53,October,Fall,11,native,14.5,7.48,125,99.7,8.49,7.32,,,,,,,,,,,,
10/11/24,20:46:53,October,Fall,11,native,14.43,7.37,126,96.1,8.19,7.12,,,,,,,,,,,,
10/11/24,21:46:53,October,Fall,11,native,14.32,7.28,126,92.2,7.88,7.17,,,,,,,,,,,,
10/11/24,22:46:53,October,Fall,11,native,14.3,7.25,126,91.9,7.86,7.03,,,,,,,,,,,,
10/11/24,23:46:53,October,Fall,11,native,14.19,7.24,127,90.6,7.76,7.22,,,,,,,,,,,,
10/12/24,0:46:53,October,Fall,11,native,14.2,7.2,127,89.5,7.67,7.65,,,,,,,,,,,,
10/12/24,1:46:53,October,Fall,11,native,14.31,7.18,127,89.3,7.64,7.57,,,,,,,,,,,,
10/12/24,2:46:53,October,Fall,11,native,14.25,7.13,127,87.8,7.52,7.5,,,,,,,,,,,,
10/12/24,3:46:53,October,Fall,11,native,14.06,7.11,127,87.6,7.53,7.98,,,,,,,,,,,,
10/12/24,4:46:53,October,Fall,11,native,13.82,7.13,126,88.1,7.61,8.07,,,,,,,,,,,,
10/12/24,5:46:53,October,Fall,11,native,13.64,7.1,127,86.7,7.53,7.75,,,,,,,,,,,,
10/12/24,6:46:53,October,Fall,11,native,13.39,7.08,127,86.1,7.51,7.64,,,,,,,,,,,,
10/12/24,7:46:53,October,Fall,11,native,13.05,7.11,125,87.1,7.66,7.65,,,,,,,,,,,,
10/12/24,8:46:53,October,Fall,11,native,12.97,7.13,126,87.5,7.71,6.99,,,,,,,,,,,,
10/12/24,9:46:53,October,Fall,11,native,13.03,7.15,126,89.8,7.9,5.94,,,,,,,,,,,,
10/12/24,10:46:53,October,Fall,11,native,13.28,7.2,125,93.2,8.15,6.75,,,,,,,,,,,,
10/12/24,11:46:53,October,Fall,11,native,13.57,7.24,125,95.6,8.3,6.6,,,,,,,,,,,,
10/12/24,12:46:53,October,Fall,11,native,14.03,7.33,125,98.7,8.49,6.94,,,,,,,,,,,,
10/12/24,13:46:53,October,Fall,11,native,14.42,7.37,125,100.8,8.6,5.87,,,,,,,,,,,,
10/12/24,14:46:53,October,Fall,11,native,14.5,7.37,125,100.9,8.59,6.77,,,,,,,,,,,,
10/4/24,12:15:00,October,Fall,7,chestnut,18.66,7.44,109.1,84.7,7.71,1.99,,,,,,,,,,,,
10/4/24,12:30:00,October,Fall,7,chestnut,18.91,7.49,110.3,88.3,7.99,1.54,,,,,,,,,,,,
10/4/24,12:45:00,October,Fall,7,chestnut,19.19,7.54,112,89.2,8.03,2.1,,,,,,,,,,,,
10/4/24,13:00:00,October,Fall,7,chestnut,19.37,7.57,111.4,91.1,8.17,1.61,,,,,,,,,,,,
10/4/24,13:15:00,October,Fall,7,chestnut,19.47,7.61,112.4,92.2,8.25,2.11,,,,,,,,,,,,
10/4/24,13:30:00,October,Fall,7,chestnut,19.5,7.6,112.9,88.7,7.94,1.96,,,,,,,,,,,,
10/4/24,13:45:00,October,Fall,7,chestnut,19.63,7.57,113.5,83.5,7.45,1.77,,,,,,,,,,,,
10/4/24,14:00:00,October,Fall,7,chestnut,19.9,7.55,114.8,85.7,7.6,1.92,,,,,,,,,,,,
10/4/24,14:15:00,October,Fall,7,chestnut,19.89,7.52,115.5,81.8,7.26,1.82,,,,,,,,,,,,
10/4/24,14:30:00,October,Fall,7,chestnut,20.13,7.5,116.6,81.4,7.19,1.53,,,,,,,,,,,,
10/4/24,14:45:00,October,Fall,7,chestnut,20.27,7.49,117.7,83.4,7.34,1.68,,,,,,,,,,,,
10/4/24,15:00:00,October,Fall,7,chestnut,20.31,7.5,118.3,80.9,7.12,1.71,,,,,,,,,,,,
10/4/24,15:15:00,October,Fall,7,chestnut,20.34,7.5,118.8,83.1,7.32,1.5,,,,,,,,,,,,
10/4/24,15:30:00,October,Fall,7,chestnut,20.29,7.51,119,83.4,7.35,1.32,,,,,,,,,,,,
10/4/24,15:45:00,October,Fall,7,chestnut,20.27,7.51,119.3,84.2,7.42,1.64,,,,,,,,,,,,
10/4/24,16:00:00,October,Fall,7,chestnut,20.32,7.51,119.8,83,7.3,1.65,,,,,,,,,,,,
10/4/24,16:15:00,October,Fall,7,chestnut,20.32,7.51,120.7,83,7.31,1.39,,,,,,,,,,,,
10/4/24,16:30:00,October,Fall,7,chestnut,20.27,7.51,120.3,83.8,7.39,1.63,,,,,,,,,,,,
10/4/24,16:45:00,October,Fall,7,chestnut,20.21,7.51,120.4,82.6,7.28,1.4,,,,,,,,,,,,
10/4/24,17:00:00,October,Fall,7,chestnut,20.15,7.51,120.5,81.2,7.17,1.3,,,,,,,,,,,,
10/4/24,17:15:00,October,Fall,7,chestnut,20.08,7.51,120.5,80.1,7.08,1.49,,,,,,,,,,,,
10/4/24,17:30:00,October,Fall,7,chestnut,20.01,7.51,120.4,80.6,7.14,1.43,,,,,,,,,,,,
10/4/24,17:45:00,October,Fall,7,chestnut,19.96,7.51,120.4,80.5,7.14,1.25,,,,,,,,,,,,
10/4/24,18:00:00,October,Fall,7,chestnut,19.93,7.51,120.6,81.1,7.19,1.48,,,,,,,,,,,,
10/4/24,18:15:00,October,Fall,7,chestnut,19.87,7.52,120.8,80.9,7.18,1.49,,,,,,,,,,,,
10/4/24,18:30:00,October,Fall,7,chestnut,19.81,7.49,121.1,77.1,6.86,1.48,,,,,,,,,,,,
10/4/24,18:45:00,October,Fall,7,chestnut,19.79,7.48,121.1,76.8,6.83,1.56,,,,,,,,,,,,
10/4/24,19:00:00,October,Fall,7,chestnut,19.64,7.48,120.7,78,6.96,1.39,,,,,,,,,,,,
10/4/24,19:15:00,October,Fall,7,chestnut,19.55,7.51,120.7,82.3,7.36,1.63,,,,,,,,,,,,
10/4/24,19:30:00,October,Fall,7,chestnut,19.45,7.54,121,82.2,7.36,1.99,,,,,,,,,,,,
10/4/24,19:45:00,October,Fall,7,chestnut,19.33,7.53,120.6,79.3,7.12,1.93,,,,,,,,,,,,
10/4/24,20:00:00,October,Fall,7,chestnut,19.22,7.52,120.6,75.7,6.82,2.54,,,,,,,,,,,,
10/4/24,20:15:00,October,Fall,7,chestnut,19.1,7.49,120.5,73.5,6.63,1.9,,,,,,,,,,,,
10/4/24,20:30:00,October,Fall,7,chestnut,18.92,7.48,119.9,72.7,6.58,1.93,,,,,,,,,,,,
10/4/24,20:45:00,October,Fall,7,chestnut,18.88,7.44,119.5,65.2,5.9,1.7,,,,,,,,,,,,
10/4/24,21:00:00,October,Fall,7,chestnut,18.77,7.4,119.3,61.4,5.58,1.51,,,,,,,,,,,,
10/4/24,21:15:00,October,Fall,7,chestnut,18.6,7.38,118.8,59.1,5.38,1.8,,,,,,,,,,,,
10/4/24,21:30:00,October,Fall,7,chestnut,18.62,7.37,118.9,59.5,5.42,1.83,,,,,,,,,,,,
10/4/24,21:45:00,October,Fall,7,chestnut,18.43,7.36,118.4,59.9,5.47,1.73,,,,,,,,,,,,
10/4/24,22:00:00,October,Fall,7,chestnut,18.37,7.36,118.4,57.5,5.26,1.95,,,,,,,,,,,,
10/4/24,22:15:00,October,Fall,7,chestnut,18.3,7.35,118.2,56.4,5.17,1.68,,,,,,,,,,,,
10/4/24,22:30:00,October,Fall,7,chestnut,18.26,7.34,118.2,54.4,4.99,1.75,,,,,,,,,,,,
10/4/24,22:45:00,October,Fall,7,chestnut,18.27,7.32,118.4,51,4.68,1.75,,,,,,,,,,,,
10/4/24,23:00:00,October,Fall,7,chestnut,18.15,7.31,118,49.8,4.58,1.58,,,,,,,,,,,,
10/4/24,23:15:00,October,Fall,7,chestnut,18.05,7.3,118.2,47.7,4.4,1.73,,,,,,,,,,,,
10/4/24,23:30:00,October,Fall,7,chestnut,17.96,7.29,117.8,47.3,4.37,1.64,,,,,,,,,,,,
10/4/24,23:45:00,October,Fall,7,chestnut,17.93,7.29,117.7,46.9,4.34,1.87,,,,,,,,,,,,
10/5/24,0:00:00,October,Fall,7,chestnut,17.84,7.29,117.7,46.3,4.28,1.93,,,,,,,,,,,,
